"Szál";"IntervallumTól";"IntervallumIg";"Megtalált prímek száma";"Indulási idõ";"Idõ";"Összefoglaló";"Módszer"
"7";"6001";"7000";"117";"1471900078667";"1";"";""
"6";"5001";"6000";"114";"1471900078666";"0";"";""
"10";"1";"10000";"1229";"1471900078662";"25";"true";"Prim2"
"2";"10001";"20000";"1033";"1471900078691";"0";"";""
"3";"20001";"30000";"983";"1471900078691";"0";"";""
"4";"30001";"40000";"958";"1471900078691";"24";"";""
"6";"50001";"60000";"924";"1471900078691";"22";"";""
"1";"1";"10000";"1229";"1471900078691";"20";"";""
"5";"40001";"50000";"930";"1471900078691";"19";"";""
"10";"90001";"100000";"879";"1471900078718";"4";"";""
"7";"60001";"70000";"878";"1471900078717";"5";"";""
"9";"80001";"90000";"876";"1471900078712";"10";"";""
"8";"70001";"80000";"902";"1471900078711";"11";"";""
"10";"1";"100000";"9592";"1471900078691";"49";"true";"Prim2"
"1";"1";"100000";"9592";"1471900078742";"454";"";""
"2";"100001";"200000";"8392";"1471900078742";"515";"";""
"3";"200001";"300000";"8013";"1471900078742";"568";"";""
"4";"300001";"400000";"7863";"1471900078742";"682";"";""
"5";"400001";"500000";"7678";"1471900078778";"660";"";""
"6";"500001";"600000";"7560";"1471900078778";"705";"";""
"7";"600001";"700000";"7445";"1471900078811";"678";"";""
"8";"700001";"800000";"7408";"1471900078778";"742";"";""
"9";"800001";"900000";"7323";"1471900078811";"716";"";""
"10";"900001";"1000000";"7224";"1471900078812";"751";"";""
"10";"1";"1000000";"78498";"1471900078742";"824";"true";"Prim2"
"3";"181";"270";"16";"1471900079643";"0";"";""
"2";"91";"180";"17";"1471900079643";"0";"";""
"1";"1";"90";"24";"1471900079643";"0";"";""
"4";"271";"360";"15";"1471900079643";"0";"";""
"9";"721";"810";"12";"1471900079649";"0";"";""
"11";"901";"1000";"14";"1471900079649";"0";"";""
"10";"811";"900";"14";"1471900079647";"0";"";""
"8";"631";"720";"14";"1471900079646";"1";"";""
"7";"541";"630";"15";"1471900079646";"0";"";""
"6";"451";"540";"12";"1471900079646";"0";"";""
"5";"361";"450";"15";"1471900079646";"0";"";""
"11";"1";"1000";"168";"1471900079642";"22";"true";"Prim2"
"1";"1";"909";"155";"1471900079669";"0";"";""
"3";"1819";"2727";"117";"1471900079670";"0";"";""
"4";"2728";"3636";"111";"1471900079669";"1";"";""
"2";"910";"1818";"125";"1471900079669";"0";"";""
"11";"9091";"10000";"102";"1471900079676";"0";"";""
"10";"8182";"9090";"100";"1471900079676";"0";"";""
"9";"7273";"8181";"99";"1471900079674";"0";"";""
"8";"6364";"7272";"99";"1471900079674";"0";"";""
"7";"5455";"6363";"108";"1471900079674";"0";"";""
"6";"4546";"5454";"106";"1471900079672";"0";"";""
"5";"3637";"4545";"107";"1471900079671";"1";"";""
"11";"1";"10000";"1229";"1471900079668";"19";"true";"Prim2"
"1";"1";"9090";"1127";"1471900079687";"0";"";""
"3";"18181";"27270";"902";"1471900079687";"30";"";""
"9";"72721";"81810";"808";"1471900079707";"9";"";""
"8";"63631";"72720";"813";"1471900079706";"10";"";""
"7";"54541";"63630";"830";"1471900079704";"10";"";""
"6";"45451";"54540";"835";"1471900079704";"8";"";""
"4";"27271";"36360";"874";"1471900079687";"19";"";""
"2";"9091";"18180";"955";"1471900079687";"16";"";""
"5";"36361";"45450";"856";"1471900079716";"1";"";""
"11";"90901";"100000";"800";"1471900079714";"3";"";""
"10";"81811";"90900";"792";"1471900079713";"4";"";""
"11";"1";"100000";"9592";"1471900079687";"51";"true";"Prim2"
"2";"90910";"181818";"7683";"1471900079738";"494";"";""
"1";"1";"90909";"8794";"1471900079738";"495";"";""
"3";"181819";"272727";"7388";"1471900079787";"556";"";""
"4";"272728";"363636";"7170";"1471900079738";"660";"";""
"6";"454546";"545454";"6927";"1471900079738";"667";"";""
"7";"545455";"636363";"6848";"1471900079782";"698";"";""
"8";"636364";"727272";"6761";"1471900079757";"708";"";""
"9";"727273";"818181";"6696";"1471900079838";"657";"";""
"5";"363637";"454545";"7015";"1471900079787";"647";"";""
"11";"909091";"1000000";"6545";"1471900079838";"734";"";""
