"Szál";"IntervallumTól";"IntervallumIg";"Megtalált prímek száma";"Indulási idő";"Idő";"Összefoglaló";"Módszer"
"2";"8334";"16666";"883";"1475227719432";"4";"";""
"4";"25000";"33332";"807";"1475227719439";"2";"";""
"3";"16667";"24999";"834";"1475227719434";"8";"";""
"5";"33333";"41665";"790";"1475227719443";"4";"";""
"6";"41666";"49998";"773";"1475227719444";"3";"";""
"7";"49999";"58331";"773";"1475227719445";"4";"";""
"8";"58332";"66664";"740";"1475227719446";"4";"";""
"9";"66665";"74997";"748";"1475227719450";"4";"";""
"11";"83331";"91663";"725";"1475227719451";"4";"";""
"12";"91664";"100000";"733";"1475227719451";"6";"";""
"10";"74998";"83330";"741";"1475227719450";"7";"";""
"12";"1";"100000";"9592";"1475227719431";"32";"true";"Prim2"
"1";"1";"83333";"8134";"1475227719465";"35";"";""
"2";"83334";"166666";"7091";"1475227719465";"61";"";""
"3";"166667";"249999";"6819";"1475227719467";"71";"";""
"4";"250000";"333332";"6621";"1475227719509";"89";"";""
"5";"333333";"416665";"6466";"1475227719530";"95";"";""
"6";"416666";"499998";"6407";"1475227719546";"84";"";""
"7";"499999";"583331";"6300";"1475227719594";"98";"";""
"8";"583332";"666664";"6231";"1475227719605";"113";"";""
"9";"666665";"749997";"6169";"1475227719627";"112";"";""
"10";"749998";"833330";"6181";"1475227719632";"124";"";""
"11";"833331";"916663";"6070";"1475227719666";"98";"";""
"12";"916664";"1000000";"6009";"1475227719702";"87";"";""
"12";"1";"1000000";"78498";"1475227719465";"324";"true";"Prim2"
"1";"1";"833333";"66419";"1475227719792";"2119";"";""
"2";"833334";"1666666";"59377";"1475227719792";"3561";"";""
"3";"1666667";"2499999";"57276";"1475227719793";"4543";"";""
"4";"2500000";"3333332";"56047";"1475227719796";"4885";"";""
"5";"3333333";"4166665";"55022";"1475227719827";"5415";"";""
"6";"4166666";"4999998";"54371";"1475227719860";"5600";"";""
"7";"4999999";"5833331";"53610";"1475227719925";"5938";"";""
"8";"5833332";"6666664";"53259";"1475227720057";"6037";"";""
"9";"6666665";"7499997";"52880";"1475227720196";"6325";"";""
"10";"7499998";"8333330";"52429";"1475227720350";"6228";"";""
"11";"8333331";"9166663";"52127";"1475227720498";"6246";"";""
"12";"9166664";"10000000";"51762";"1475227720732";"6055";"";""
"12";"1";"10000000";"664579";"1475227719791";"6996";"true";"Prim2"
"1";"1";"769";"136";"1475227726854";"0";"";""
"2";"770";"1538";"106";"1475227726854";"0";"";""
"3";"1539";"2307";"100";"1475227726855";"0";"";""
"4";"2308";"3076";"97";"1475227726857";"0";"";""
"5";"3077";"3845";"93";"1475227726858";"0";"";""
"6";"3846";"4614";"91";"1475227726860";"0";"";""
"7";"4615";"5383";"86";"1475227726861";"0";"";""
"8";"5384";"6152";"93";"1475227726861";"0";"";""
"9";"6153";"6921";"88";"1475227726862";"0";"";""
"10";"6922";"7690";"85";"1475227726864";"0";"";""
"11";"7691";"8459";"82";"1475227726864";"0";"";""
"12";"8460";"9228";"87";"1475227726865";"0";"";""
"13";"9229";"10000";"85";"1475227726866";"0";"";""
"13";"1";"10000";"1229";"1475227726854";"12";"true";"Prim2"
"1";"1";"7692";"976";"1475227726868";"2";"";""
"3";"15385";"23076";"779";"1475227726868";"2";"";""
"2";"7693";"15384";"822";"1475227726868";"3";"";""
"4";"23077";"30768";"740";"1475227726873";"2";"";""
"5";"30769";"38460";"740";"1475227726873";"3";"";""
"6";"38461";"46152";"717";"1475227726873";"3";"";""
"7";"46153";"53844";"710";"1475227726876";"3";"";""
"8";"53845";"61536";"705";"1475227726878";"3";"";""
"9";"61537";"69228";"685";"1475227726878";"4";"";""
"10";"69229";"76920";"688";"1475227726880";"4";"";""
"11";"76921";"84612";"683";"1475227726882";"5";"";""
"12";"84613";"92304";"668";"1475227726883";"4";"";""
"13";"92305";"100000";"679";"1475227726885";"4";"";""
"13";"1";"100000";"9592";"1475227726867";"22";"true";"Prim2"
"1";"1";"76923";"7562";"1475227726891";"29";"";""
"2";"76924";"153846";"6613";"1475227726891";"41";"";""
"3";"153847";"230769";"6326";"1475227726892";"57";"";""
"4";"230770";"307692";"6127";"1475227726921";"66";"";""
"5";"307693";"384615";"6026";"1475227726933";"74";"";""
"6";"384616";"461538";"5921";"1475227726960";"85";"";""
"7";"461539";"538461";"5884";"1475227726992";"78";"";""
"8";"538462";"615384";"5797";"1475227727008";"86";"";""
"9";"615385";"692307";"5721";"1475227727034";"95";"";""
"10";"692308";"769230";"5698";"1475227727066";"97";"";""
"11";"769231";"846153";"5660";"1475227727095";"112";"";""
"12";"846154";"923076";"5621";"1475227727130";"114";"";""
"13";"923077";"1000000";"5542";"1475227727164";"94";"";""
"13";"1";"1000000";"78498";"1475227726891";"367";"true";"Prim2"
"1";"1";"769230";"61675";"1475227727261";"1656";"";""
"2";"769231";"1538460";"55185";"1475227727261";"3135";"";""
"3";"1538461";"2307690";"53176";"1475227727261";"4285";"";""
"4";"2307691";"3076920";"51912";"1475227727295";"4649";"";""
"5";"3076921";"3846150";"51112";"1475227727399";"5047";"";""
"6";"3846151";"4615380";"50396";"1475227727470";"5613";"";""
"7";"4615381";"5384610";"49930";"1475227727590";"5788";"";""
"8";"5384611";"6153840";"49325";"1475227727751";"5997";"";""
"9";"6153841";"6923070";"49042";"1475227727915";"6320";"";""
"10";"6923071";"7692300";"48661";"1475227728092";"6186";"";""
"11";"7692301";"8461530";"48289";"1475227728318";"6145";"";""
"12";"8461531";"9230760";"48157";"1475227728586";"6134";"";""
"13";"9230761";"10000000";"47719";"1475227728850";"5957";"";""
"13";"1";"10000000";"664579";"1475227727260";"7546";"true";"Prim2"
"1";"1";"714";"127";"1475227734849";"0";"";""
"2";"715";"1428";"98";"1475227734849";"0";"";""
"3";"1429";"2142";"98";"1475227734851";"0";"";""
"4";"2143";"2856";"91";"1475227734852";"0";"";""
"5";"2857";"3570";"85";"1475227734852";"0";"";""
"6";"3571";"4284";"89";"1475227734855";"0";"";""
"7";"4285";"4998";"80";"1475227734856";"0";"";""
"8";"4999";"5712";"84";"1475227734857";"0";"";""
"9";"5713";"6426";"83";"1475227734857";"0";"";""
"10";"6427";"7140";"79";"1475227734858";"0";"";""
"11";"7141";"7854";"78";"1475227734859";"0";"";""
"12";"7855";"8568";"75";"1475227734859";"0";"";""
"13";"8569";"9282";"82";"1475227734861";"0";"";""
"14";"9283";"10000";"80";"1475227734861";"0";"";""
"14";"1";"10000";"1229";"1475227734848";"13";"true";"Prim2"
"1";"1";"7142";"914";"1475227734864";"1";"";""
"2";"7143";"14284";"762";"1475227734864";"2";"";""
"3";"14285";"21426";"729";"1475227734866";"3";"";""
"5";"28569";"35710";"688";"1475227734871";"3";"";""
"4";"21427";"28568";"702";"1475227734871";"3";"";""
"6";"35711";"42852";"685";"1475227734874";"3";"";""
"7";"42853";"49994";"652";"1475227734876";"3";"";""
"8";"49995";"57136";"661";"1475227734877";"4";"";""
"9";"57137";"64278";"642";"1475227734881";"3";"";""
"10";"64279";"71420";"639";"1475227734883";"5";"";""
"11";"71421";"78562";"634";"1475227734885";"5";"";""
