"Szál";"IntervallumTól";"IntervallumIg";"Megtalált prímek száma";"Indulási idő";"Idő";"Összefoglaló";"Módszer"
"4";"2308";"3076";"97";"1475232023355";"1";"";""
"5";"3077";"3845";"93";"1475232023356";"0";"";""
"6";"3846";"4614";"91";"1475232023356";"1";"";""
"7";"4615";"5383";"86";"1475232023357";"0";"";""
"8";"5384";"6152";"93";"1475232023357";"0";"";""
"9";"6153";"6921";"88";"1475232023357";"1";"";""
"10";"6922";"7690";"85";"1475232023358";"0";"";""
"11";"7691";"8459";"82";"1475232023358";"0";"";""
"12";"8460";"9228";"87";"1475232023358";"0";"";""
"13";"9229";"10000";"85";"1475232023358";"1";"";""
"13";"1";"10000";"1229";"1475232023354";"5";"true";"Prim2"
"1";"1";"7692";"976";"1475232023359";"1";"";""
"2";"7693";"15384";"822";"1475232023359";"3";"";""
"3";"15385";"23076";"779";"1475232023360";"2";"";""
"4";"23077";"30768";"740";"1475232023363";"2";"";""
"5";"30769";"38460";"740";"1475232023364";"2";"";""
"6";"38461";"46152";"717";"1475232023365";"2";"";""
"8";"53845";"61536";"705";"1475232023367";"3";"";""
"9";"61537";"69228";"685";"1475232023367";"3";"";""
"7";"46153";"53844";"710";"1475232023366";"3";"";""
"10";"69229";"76920";"688";"1475232023370";"4";"";""
"11";"76921";"84612";"683";"1475232023371";"3";"";""
"12";"84613";"92304";"668";"1475232023371";"4";"";""
"13";"92305";"100000";"679";"1475232023375";"3";"";""
"13";"1";"100000";"9592";"1475232023359";"19";"true";"Prim2"
"1";"1";"76923";"7562";"1475232023378";"22";"";""
"2";"76924";"153846";"6613";"1475232023379";"33";"";""
"3";"153847";"230769";"6326";"1475232023379";"49";"";""
"4";"230770";"307692";"6127";"1475232023393";"46";"";""
"5";"307693";"384615";"6026";"1475232023413";"45";"";""
"6";"384616";"461538";"5921";"1475232023429";"55";"";""
"7";"461539";"538461";"5884";"1475232023430";"65";"";""
"8";"538462";"615384";"5797";"1475232023439";"65";"";""
"9";"615385";"692307";"5721";"1475232023459";"60";"";""
"10";"692308";"769230";"5698";"1475232023486";"55";"";""
"11";"769231";"846153";"5660";"1475232023505";"63";"";""
"12";"846154";"923076";"5621";"1475232023506";"64";"";""
"13";"923077";"1000000";"5542";"1475232023520";"66";"";""
"13";"1";"1000000";"78498";"1475232023378";"207";"true";"Prim2"
"1";"1";"769231";"61676";"1475232023587";"916";"";""
"2";"769232";"1538462";"55185";"1475232023587";"1650";"";""
"3";"1538463";"2307693";"53175";"1475232023587";"2079";"";""
"4";"2307694";"3076924";"51913";"1475232023611";"2568";"";""
"5";"3076925";"3846155";"51111";"1475232023628";"2588";"";""
"6";"3846156";"4615386";"50396";"1475232023678";"2892";"";""
"7";"4615387";"5384617";"49931";"1475232023755";"3072";"";""
"8";"5384618";"6153848";"49324";"1475232023868";"3059";"";""
"9";"6153849";"6923079";"49043";"1475232023974";"3185";"";""
"10";"6923080";"7692310";"48661";"1475232024122";"3167";"";""
"11";"7692311";"8461541";"48288";"1475232024323";"2977";"";""
"13";"9230773";"10000000";"47719";"1475232024562";"3062";"";""
"12";"8461542";"9230772";"48157";"1475232024527";"3170";"";""
"13";"1";"10000000";"664579";"1475232023587";"4111";"true";"Prim2"
"1";"1";"714";"127";"1475232027760";"0";"";""
"2";"715";"1428";"98";"1475232027761";"0";"";""
"3";"1429";"2142";"98";"1475232027762";"0";"";""
"4";"2143";"2856";"91";"1475232027763";"0";"";""
"5";"2857";"3570";"85";"1475232027764";"0";"";""
"6";"3571";"4284";"89";"1475232027765";"1";"";""
"7";"4285";"4998";"80";"1475232027766";"1";"";""
"8";"4999";"5712";"84";"1475232027767";"0";"";""
"9";"5713";"6426";"83";"1475232027768";"0";"";""
"10";"6427";"7140";"79";"1475232027768";"1";"";""
"11";"7141";"7854";"78";"1475232027769";"0";"";""
"12";"7855";"8568";"75";"1475232027770";"0";"";""
"13";"8569";"9282";"82";"1475232027771";"0";"";""
"14";"9283";"10000";"80";"1475232027772";"0";"";""
"14";"1";"10000";"1229";"1475232027760";"12";"true";"Prim2"
"1";"1";"7143";"914";"1475232027773";"1";"";""
"2";"7144";"14286";"762";"1475232027774";"2";"";""
"3";"14287";"21429";"729";"1475232027776";"2";"";""
"4";"21430";"28572";"703";"1475232027777";"4";"";""
"5";"28573";"35715";"687";"1475232027780";"3";"";""
